organization,broad_org,state,type,medical_position,medicine_type,department,year,amount
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,other,conventions,2012,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,other,conventions,2013,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,other,conventions,2014,1000
minnesota academy of physician assistants,academy of physician assistants,minnesota,medical,physician assistant,other,conventions,2015,1000
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2005,540
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2006,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2007,450
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2008,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2009,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2010,360
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2011,616
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2012,660
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2013,860
minnesota board of pharmacy,board of pharmacy,minnesota,medical,pharmacist,other,general counsel,2014,880
minnesota chiefs of police assoc,NA,NA,NA,,NA,lele,2004,525
minnesota gerontological society,gerontological society,minnesota,other,,geriatrics,conventions,2003,400
minnesota gerontological society,gerontological society,minnesota,other,,geriatrics,conventions,2004,800
minnesota medical association,medical association,minnesota,other,,other,medical ed,2005,3500
minnesota medical directors assoc,medical directors association,minnesota,medical,medical director,other,conventions,2003,1000
minnesota medical directors assoc,medical directors association,minnesota,medical,medical director,other,managedcare ff,2002,1000
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,conventions,2003,2650
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,conventions,2004,500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,conventions,2013,1000
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,managedcare ff,2002,525
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,medical ed,2005,1500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,medical ed,2012,3500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,medical ed,2013,3000
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,medical ed,2014,2500
minnesota pharmacist association,pharmacists association,minnesota,medical,pharmacist,other,promotions rx,2004,1610
minnesota pharmacists foundation,pharmacists association,minnesota,medical,pharmacist,other,pur pharma fund,2009,15000
minnesota society of anesthesiologists,society of anesthesiologists,minnesota,other,,anesthesia,conventions,2002,250
minnesota society of anesthesiologists,society of anesthesiologists,minnesota,other,,anesthesia,lecture program,2002,250
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2002,1000
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2003,1250
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2004,1350
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2006,400
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2013,1300
mississippi academy of family physcians,academy of family physicians,mississippi,medical,physician,family,conventions,2014,1400
mississippi gulf coast chapter of the oncology nursing society,gulf coast chapter of the oncology nursing society,mississippi,medical,nurse,oncology,conventions,2003,250
mississippi mentoring network inc,mentoring network inc,mississippi,other,,other,pur pharma fund,2002,1500
mississippi nurses association,nurses association,mississippi,medical,nurse,other,conventions,2012,650
mississippi nurses association,nurses association,mississippi,medical,nurse,other,lecture program,2002,5000
mississippi nurses association,nurses association,mississippi,medical,nurse,other,medical ed,2008,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,other,medical ed,2009,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,other,medical ed,2010,1000
mississippi nurses association,nurses association,mississippi,medical,nurse,other,medical ed,2011,1000
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,conventions,2003,800
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,conventions,2004,800
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,conventions,2013,1350
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,conventions,2014,1350
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,medical ed,2006,500
mississippi osteopathic med assoc,osteopathic medical assoc,mississippi,other,,osteopathic,medical ed,2008,2000
mississippi pain society,pain society,mississippi,other,,pain,managedcare ff,2002,500
mississippi pain society,pain society,mississippi,other,,pain,medical ed,2003,2500
mississippi pain society,pain society,mississippi,other,,pain,medical ed,2006,500
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,conventions,2003,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,conventions,2004,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,conventions,2011,700
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,lecture program,2003,2000
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,managedcare ff,2002,650
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,market strategies,2002,360
mississippi pharmacist association,pharmacists association,mississippi,medical,pharmacist,other,market strategies,2004,360
mississippi society of health system pharmacist,society of health system pharmacists,mississippi,medical,pharmacist,other,medical ed,2009,2500
mississippi state board of pharmacy,state board of pharmacy,mississippi,medical,pharmacist,other,general counsel,2010,600
mississippi state board of pharmacy,state board of pharmacy,mississippi,medical,pharmacist,other,general counsel,2011,850
mississippi state board of pharmacy,state board of pharmacy,mississippi,medical,pharmacist,other,general counsel,2012,50
mississippi state board of pharmacy,state board of pharmacy,mississippi,medical,pharmacist,other,general counsel,2013,1100
missouri academy of family physicians,academy of family physicians,missouri,medical,physician,family,medical ed,2006,1000
missouri academy of family physicians,academy of family physicians,missouri,medical,physician,family,medical ed,2008,2500
missouri academy of physician assistants,academy of physician assistants,missouri,medical,physician assistant,other,conventions,2010,500
missouri chapter of the american college of physicians,chapter of the college of physicians,missouri,medical,physician,other,conventions,2002,900
missouri chapter of the american college of physicians,chapter of the college of physicians,missouri,medical,physician,other,conventions,2003,900
missouri chapter of the american college of physicians,chapter of the college of physicians,missouri,medical,physician,other,conventions,2011,1000
missouri health care association,health care association,missouri,other,,other,conventions,2003,700
missouri health care association,health care association,missouri,other,,other,lecture program,2002,500
missouri pharmacy association,pharmacists association,missouri,medical,pharmacist,other,managedcare ff,2002,675
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,conventions,2003,700
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,conventions,2004,500
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,conventions,2008,550
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,lecture program,2002,2000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,medical ed,2006,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,medical ed,2007,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,medical ed,2008,3000
missouri society of the american college of osteopathic,society of the college of osteopathic,missouri,other,,osteopathic,medical ed,2009,3000
missouri state medical association,state medical association,missouri,other,,other,conventions,2002,1000
missouri state medical association,state medical association,missouri,other,,other,conventions,2003,1000
missouri state medical association,state medical association,missouri,other,,other,conventions,2004,1000
missouri state medical association,state medical association,missouri,other,,other,medical ed,2003,1250
monatana nurses association,monatana nurses association,none,medical,nurse,other,lecture program,2002,1630
monroe county osteopathic medical assoc,monroe county osteopathic medical assoc,none,other,,osteopathic,medical ed,2003,2000
monroe county osteopathic medical assoc,monroe county osteopathic medical assoc,none,other,,osteopathic,medical ed,2005,5000
monroe osteopathic medical association,osteopathic medical assoc,none,other,,osteopathic,conventions,2012,1495
monroe osteopathic medical association,osteopathic medical assoc,none,other,,osteopathic,conventions,2013,1495
monroe osteopathic medical association,osteopathic medical assoc,none,other,,osteopathic,conventions,2014,1495
monroe osteopathic medical association,osteopathic medical assoc,none,other,,osteopathic,medical ed,2009,2700
monroe osteopathic medical association,osteopathic medical assoc,none,other,,osteopathic,medical ed,2010,5800
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,other,conventions,2003,300
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,other,conventions,2010,1000
montana academy of physician physician assistants,academy of physician assistants,montana,medical,physician assistant,other,medical ed,2014,4300
montana gerontology society,gerontological society,montana,other,,geriatrics,conventions,2005,200
montana state board of pharmacy,state board of pharmacy,montana,medical,pharmacist,other,medical ed,2003,2000
n c academy of family physicians,academy of family physicians,none,medical,physician,family,lecture program,2002,1413
n c academy of family physicians,academy of family physicians,none,medical,physician,family,promotions rx,2003,1170
nabp/aacp district iii national assoc bd of pharmacy,nabp/aacp,national,medical,pharmacist,other,medical ed,2005,2000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,analgesic,2002,1180
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,analgesic,2003,70435
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,analgesic,2004,395
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,analgesic,2005,325
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2004,50
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2005,13774.67
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2006,490000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2007,290149
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2008,350000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2009,375000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2010,350000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2011,450000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2012,427211.25
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2013,425000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,corp.security,2014,200000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,dea compliance,2004,50
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,direct mfg o_h,2002,35
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,general counsel,2003,19285
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2003,5625
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2004,50590
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2005,53532.32
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2006,3323.72
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2007,50000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,lele,2008,15000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,other,2003,8000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,public affairs,2002,295
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,pur pharma fund,2003,2000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,security rhodes,2003,480
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,security rhodes,2004,50
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,security stam,2009,50000
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,security wilson,2005,345.04
naddi national assoc of drug diversion investigators in,NA,NA,NA,,NA,st. gov leg  aff,2004,50
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,analgesic,2002,2296
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,analgesic,2003,20
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,lele,2006,1000
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,lele,2007,1000
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,lele,2010,6000
narcotic enforcement officers assoc,narcotic enforcement officers assoc,none,law enforcement,,narcotics,medical ed,2003,2296
national alliance of state drug enforcement agencies nasdea,alliance of state drug enforcement agencies nasdea,national,law enforcement,,narcotics,corp.security,2011,8500
national alliance of state drug enforcement agencies nasdea,alliance of state drug enforcement agencies nasdea,national,law enforcement,,narcotics,medical ed,2003,2000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2008,2500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2009,2500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2010,52500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2011,52500
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2012,50000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,health policy,2013,55000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,medical ed,2013,6000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,medical ed,2014,5000
national alliance of state pharmacy associations,alliance of state pharmacy associations,national,medical,pharmacist,other,patient & professional relations,2014,2500
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,conventions,2002,2175
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,conventions,2003,1400
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,conventions,2011,21400
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,conventions,2012,14500
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,managedcare ff,2003,2654
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2002,6750
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2010,45580
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2011,15000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2012,24870
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2013,15000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,medical ed,2014,10000
national assoc of directors of nursing administration,assoc of directors of nursing administration,national,medical,nurse,other,st. gov leg  aff,2012,16000
national assoc of drug diversion investigators indiana state chapter,NA,NA,NA,,NA,lele,2008,1000
national association of boards of pharmacy,NA,NA,NA,,NA,analgesic,2004,1000
national association of boards of pharmacy,NA,NA,NA,,NA,medical ed,2002,1500
national association of boards of pharmacy,NA,NA,NA,,NA,medical ed,2003,1000
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2002,500
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2005,2000
national association boards of phar district 6 7,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2011,5000
national association of attorneys general,association of attorneys general,national,law enforcement,,attorneys general,public affairs,2003,75
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,analgesic,2004,4000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,creative servs,2004,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2003,560
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2007,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2008,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2009,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2011,1015000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2012,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2013,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,health policy,2014,15000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2004,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2005,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2006,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2007,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2008,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2009,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2010,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2011,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2012,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,library infoserv,2013,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2003,9000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2004,3450
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2005,10000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2006,7500
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2007,2500
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2008,10000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2009,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2010,20000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2011,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2012,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2013,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical ed,2014,5000
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,medical servs,2003,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,st. gov leg  aff,2003,20
national association of boards of pharmacy,association of boards of pharmacy,national,medical,pharmacist,other,st. gov leg  aff,2012,50000
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2002,36600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2003,45200
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2004,8550
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2006,19100
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2007,19550
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2008,63600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2009,22600
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2010,12450
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2011,34350
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2012,84660
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2013,6210
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,conventions,2014,35190
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,executive admin,2002,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,market research,2003,975
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2002,9750
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2003,17250
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2004,4875
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2005,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2006,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2007,19960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2008,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,national accts,2012,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,professional rels,2004,9960
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,pur pharma fund,2002,25000
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,rhodes sale dst,2010,21920
national association of chain drug stores,association of chain drug stores,national,medical,pharmacist,other,rhodes sale dst,2011,2880
national association of chain drug stores foundation inc,association of chain drug stores,national,medical,pharmacist,other,medical ed,2003,12500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,managedcare ff,2013,3800
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,managedcare ff,2014,3800
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2002,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2009,12500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2010,57000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2011,25000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2012,57000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2013,25000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,medical ed,2014,67000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,par against,2002,3385
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,prof relations,2002,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,prof relations,2003,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,professional rels,2005,5000
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2006,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2007,2500
national association of managed care physicians,association of managed care physicians,national,medical,physician,managed care,st. gov leg  aff,2008,2500
national association of state controlled substance authorities,association of state controlled substance authorities,national,law enforcement,,narcotics,pur pharma fund,2003,50000
national childrens cancer society,childrens cancer society,national,other,,oncology,pur pharma fund,2004,250
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,pur pharma fund,2005,1000
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,st. gov leg  aff,2006,1000
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,st. gov leg  aff,2010,2500
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,st. gov leg  aff,2011,1000
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,st. gov leg  aff,2012,1000
national coalition for cancer survivorship,coalition for cancer survivorship,national,other,,oncology,st. gov leg  aff,2013,1000
national community pharmacists association,NA,NA,NA,,NA,analgesic,2009,302
national community pharmacists association,NA,NA,NA,,NA,conventions,2003,6050
national community pharmacists association,NA,NA,NA,,NA,conventions,2009,8835
national community pharmacists association,NA,NA,NA,,NA,corp.security,2003,10000
national community pharmacists association,NA,NA,NA,,NA,customer serv,2004,14500
national community pharmacists association,NA,NA,NA,,NA,market strategies,2002,113400
national community pharmacists association,NA,NA,NA,,NA,market strategies,2006,600
national community pharmacists association,NA,NA,NA,,NA,market strategies,2008,40000
national community pharmacists association,NA,NA,NA,,NA,market strategies,2009,15000
national community pharmacists association,NA,NA,NA,,NA,market strategies,2010,15000
national community pharmacists association,NA,NA,NA,,NA,medical ed,2003,15000
national community pharmacists association,NA,NA,NA,,NA,medical ed,2004,62500
national community pharmacists association,NA,NA,NA,,NA,medical ed,2005,8000
national community pharmacists association,NA,NA,NA,,NA,medical ed,2006,96100
national community pharmacists association,NA,NA,NA,,NA,medical ed,2008,31665
national community pharmacists association,NA,NA,NA,,NA,medical ed,2012,10000
national community pharmacists association,NA,NA,NA,,NA,medical ed,2013,15000
national community pharmacists association,NA,NA,NA,,NA,medical ed,2014,15000
national community pharmacists association,NA,NA,NA,,NA,mkt intrnt strt,2003,14500
national community pharmacists association,NA,NA,NA,,NA,national accts,2003,10000
national community pharmacists association,NA,NA,NA,,NA,national accts,2004,9000
national community pharmacists association,NA,NA,NA,,NA,national accts,2006,27000
national community pharmacists association,NA,NA,NA,,NA,national accts,2008,9500
national community pharmacists association,NA,NA,NA,,NA,national accts,2012,9500
national community pharmacists association,NA,NA,NA,,NA,national accts,2015,9500
national community pharmacists association,NA,NA,NA,,NA,ppmd - it,2005,16500
national community pharmacists association,NA,NA,NA,,NA,ppmd - it,2007,18500
national community pharmacists association,NA,NA,NA,,NA,promotions rx,2003,15000
national community pharmacists association,NA,NA,NA,,NA,promotions rx,2012,2000
national community pharmacists association,NA,NA,NA,,NA,public affairs,2003,6850
national community pharmacists association,NA,NA,NA,,NA,public affairs,2012,8200
national community pharmacists association,NA,NA,NA,,NA,sales force,2007,15000
national community pharmacists association,community pharmacists association,national,medical,pharmacist,other,promotions rx,2010,10500
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,conventions,2010,8550
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,conventions,2014,9000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,medical ed,2004,5000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,medical ed,2010,100000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,national accts,2011,10500
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,public affairs,2010,10000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,public affairs,2011,90000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,public affairs,2012,6680
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,pur pharma fund,2011,15000
national community pharmacists association foundation,community pharmacists association,national,medical,pharmacist,other,pur pharma fund,2012,15000
national conference for nurse practitioners,conference for nurse practitioners,national,medical,nurse,other,conventions,2003,1925
national conference for nurse practitioners,conference for nurse practitioners,national,medical,nurse,other,medical ed,2002,7000
national conference of state legislatures,conference of state legislatures,national,legislative,,other,st. gov leg  aff,2004,5000
national consumers league,consumers league,national,other,,other,pur pharma fund,2002,5000
national consumers league,consumers league,national,other,,other,pur pharma fund,2009,25000
national consumers league,consumers league,national,other,,other,pur pharma fund,2010,25000
national consumers league,consumers league,national,other,,other,st. gov leg  aff,2012,50000
national consumers league,consumers league,national,other,,other,st. gov leg  aff,2013,25000
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,par against,2003,28775
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,pur pharma fund,2002,31000
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,pur pharma fund,2004,14000
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,pur pharma fund,2005,7500
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,pur pharma fund,2008,64000
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,pur pharma fund,2010,82200
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2005,7500
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2007,7500
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2008,7500
national council on patient informatin and education,council on patient information and education,national,medical,patient advocacy,other,st. gov leg  aff,2011,26508
