organization,broad_org,state,type,position,subtype,department,year,amount
women in government,women government,indiana,legislative,NA,NA,pur pharma fund,2009,126000
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2005,2500
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2010,130000
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2011,30000
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2012,20000
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2013,3000
women in government,women government,indiana,legislative,NA,NA,st. gov leg  aff,2014,2000
national conference of state legislatures,conference of state legislatures,national,legislative,NA,NA,st. gov leg  aff,2004,5000
american college of osteopathic family physicians,college of osteopathic family physicians,none,medical,physician,osteopathic,lecture program,2002,500
american college of osteopathic family physicians,college of osteopathic family physicians,none,medical,physician,family,medical ed,2002,50000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,conventions,2007,1000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,medical ed,2009,10000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,medical ed,2013,10000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,medical ed,2014,10000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,st. gov leg  aff,2011,20000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,st. gov leg  aff,2012,20000
american college of osteopathic internists inc,college of osteopathic internists,none,medical,physician,osteopathic,st. gov leg  aff,2014,20000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,conventions,2003,47850
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,conventions,2005,30000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,conventions,2006,11400
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,conventions,2007,5800
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,conventions,2008,17200
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,lecture program,2002,30000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,marketing,2003,25000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,medical ed,2005,25000
acp asim foundation american college of physicians,college of physicians,none,medical,physician,general,prof relations,2002,25000
american college of physicians,college of physicians,none,medical,physician,general,conventions,2004,17700
american college of physicians,college of physicians,none,medical,physician,general,conventions,2005,41400
american college of physicians,college of physicians,none,medical,physician,general,conventions,2006,5800
american college of physicians,college of physicians,none,medical,physician,general,conventions,2011,50600
american college of physicians,college of physicians,none,medical,physician,general,conventions,2012,12600
american college of physicians,college of physicians,none,medical,physician,general,conventions,2014,2950
american college of physicians,college of physicians,none,medical,physician,general,drug sfty&pharm,2004,459
american college of physicians,college of physicians,none,medical,physician,general,new prod-budget,2012,3050
american college of physicians,college of physicians,none,medical,physician,general,other,2003,30000
american college of physicians,college of physicians,none,medical,physician,general,patient & professional relations,2015,25000
american college of physicians,college of physicians,none,medical,physician,general,professional rels,2004,25000
american college of physicians,college of physicians,none,medical,physician,general,promotions rx,2012,19000
american college of physicians,college of physicians,none,medical,physician,general,st. gov leg  aff,2006,25000
american college of physicians,college of physicians,none,medical,physician,general,st. gov leg  aff,2007,25000
american college of physicians,college of physicians,none,medical,physician,general,st. gov leg  aff,2008,25000
american college of physicians,college of physicians,none,medical,physician,general,st. gov leg  aff,2013,25000
american college of physicians,college of physicians,none,medical,physician,general,st. gov leg  aff,2014,25000
american college of physicians,college of physicians,none,medical,physician,general,conventions,2002,750
american college of physicians,college of physicians,none,medical,physician,general,conventions,2003,2050
american college of physicians,college of physicians,none,medical,physician,general,conventions,2004,750
american college of physicians,college of physicians,none,medical,physician,general,conventions,2008,700
american college of physicians american soc of internal medicine,college of physicians,none,medical,physician,general,conventions,2003,1000
american college of physicians american soc of internal medicine,college of physicians,none,medical,physician,general,conventions,2014,1000
american college of preventative medicine,college of preventative medicine,none,medical,general,preventative,medical ed,2010,20000
american college of preventative medicine,college of preventative medicine,none,medical,general,preventative,medical ed,2012,25000
american college of preventative medicine,college of preventative medicine,none,medical,general,preventative,st. gov leg  aff,2010,10000
american college of rheumatology,college of rheumatology,none,medical,general,rheumatology,conventions,2002,4400
american college of rheumatology,college of rheumatology,none,medical,general,rheumatology,conventions,2004,4600
american college of rheumatology,college of rheumatology,none,medical,general,rheumatology,conventions,2005,9500
american college of rheumatology,college of rheumatology,none,medical,general,rheumatology,conventions,2006,10800
american college of rheumatology,college of rheumatology,none,medical,general,rheumatology,conventions,2009,5600
american college of toxicology,college of toxicology,none,medical,general,toxicology,clinical pharm,2002,100
american college of toxicology,college of toxicology,none,medical,general,toxicology,medical ed,2010,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,ndse,2002,3831.75
american college of toxicology,college of toxicology,none,medical,general,toxicology,ndse,2003,1775
american college of toxicology,college of toxicology,none,medical,general,toxicology,ndse,2004,1243.25
american college of toxicology,college of toxicology,none,medical,general,toxicology,pkdm,2008,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pkdm,2009,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pkdm,2011,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pkdm,2013,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,ppmd pharma tech,2008,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pur pharma fund,2002,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pur pharma fund,2003,1500
american college of toxicology,college of toxicology,none,medical,general,toxicology,pur pharma fund,2004,1000
american college of toxicology,college of toxicology,none,medical,general,toxicology,pur pharma fund,2005,2200
national governors association centers for best practices,governors association centers for best practices,national,legislative,NA,NA,st. gov leg  aff,2012,40000
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,medical ed,2009,2500
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,medical ed,2010,2500
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,pur pharma fund,2003,2500
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,pur pharma fund,2004,11600
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,st. gov leg  aff,2008,500
community partners fbo for grace,community partners fbo for grace,none,medical,other,other,st. gov leg  aff,2009,2500
national governors association centers for best practices,governors association centers for best practices,national,legislative,NA,NA,st. gov leg  aff,2013,20000
national governors association centers for best practices,governors association centers for best practices,national,legislative,NA,NA,st. gov leg  aff,2014,20000
republican national state attention tim barnes,republican,national,legislative,NA,NA,government aff,2002,25000
republican party of new mexico,republican,new mexico,legislative,NA,NA,st. gov leg  aff,2007,500
republican party of new mexico,republican,new mexico,legislative,NA,NA,st. gov leg  aff,2008,500
american cancer soc cancer ntwk inc,cancer society,none,medical,general,oncology,patient & professional relations,2015,25000
consultant pharmacists inc,consultant pharmacists inc,none,medical,pharmacist,general,conventions,2009,300
consultant pharmacists inc,consultant pharmacists inc,none,medical,pharmacist,general,conventions,2012,300
american cancer soc cancer ntwk inc,cancer society,none,medical,general,oncology,pur pharma fund,2007,90000
american cancer soc cancer ntwk inc,cancer society,none,medical,general,oncology,st. gov leg  aff,2010,1500
american cancer soc cancer ntwk inc,cancer society,none,medical,general,oncology,st. gov leg  aff,2013,26000
american cancer soc cancer ntwk inc,cancer society,none,medical,general,oncology,st. gov leg  aff,2014,25000
council of state governments,council of state governments,none,legislative,NA,NA,government aff,2003,5000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2004,6000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2005,5000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2006,6000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2007,8500
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2008,8500
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2009,11000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2010,7500
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2011,15000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2013,11000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2014,6000
council of state governments,council of state governments,none,legislative,NA,NA,st. gov leg  aff,2015,9000
democratic governors association,democrat,none,legislative,NA,NA,government aff,2003,10000
democratic governors association,democrat,none,legislative,NA,NA,st. gov leg  aff,2013,20000
democratic governors association,democrat,none,legislative,NA,NA,st. gov leg  aff,2014,55000
democratic governors association,democrat,none,legislative,NA,NA,st. gov leg  aff,2015,50000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,general counsel,2005,200
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,government aff,2002,500
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2006,10000
coshar foundation,coshar foundation,none,medical,other,other,st. gov leg  aff,2013,185000
coshar foundation,coshar foundation,none,medical,other,other,st. gov leg  aff,2014,198110
coshar foundation,coshar foundation,none,medical,other,other,st. gov leg  aff,2015,25000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2007,8000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2009,20000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2010,10700
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2011,375
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2012,20000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2013,10000
american legislative exchange counc,legislative exchange council,none,legislative,NA,NA,st. gov leg  aff,2014,17500
seattle conf organizing committee seattle nat governors assoc,national governors association,none,legislative,NA,NA,st. gov leg  aff,2005,25000
republican legislative election committe,republican,none,legislative,NA,NA,government aff,2003,1000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2003,35000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2004,25000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2005,35000
dannemiller inc,dannemiller inc,none,medical,general,pain,conventions,2003,300
dannemiller inc,dannemiller inc,none,medical,general,pain,market strategies,2005,5269.8
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2003,271392.98
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2004,185536.62
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2005,459677.99
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2006,192400
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2007,51500
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2008,63340.28
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2009,173400
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2010,258800
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2011,191920
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2012,203100
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2013,24000
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2014,193500
dannemiller inc,dannemiller inc,none,medical,general,pain,medical ed,2015,10000
dannemiller inc,dannemiller inc,none,medical,general,pain,mkt intrnt strt,2003,105000
dannemiller inc,dannemiller inc,none,medical,general,pain,mkt intrnt strt,2004,20000
dannemiller inc,dannemiller inc,none,medical,general,pain,other,2007,210000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2006,70000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2007,40000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2008,40000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2009,45000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2010,45000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2011,50000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2012,65000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2013,65000
republican state ldrship committee,republican,none,legislative,NA,NA,st. gov leg  aff,2014,25000
safe states alliance,safe states alliance,none,legislative,NA,NA,st. gov leg  aff,2012,700
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,public affairs,2011,75000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,public affairs,2013,25000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2004,23000
american diabetes association,diabetes association,none,medical,general,diabetes,pur pharma fund,2003,5200
american diabetes association,diabetes association,none,medical,general,diabetes,st. gov leg  aff,2009,1000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2009,241250
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2010,70000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2011,175000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2012,225000
united states conference of mayors mayors business council,united states conference of mayors mayors business council,none,legislative,NA,NA,st. gov leg  aff,2013,225000
washington legal foundation,legal foundation,none,legislative,NA,NA,pur pharma fund,2002,5000
washington legal foundation,legal foundation,none,legislative,NA,NA,pur pharma fund,2003,10000
washington legal foundation,legal foundation,none,legislative,NA,NA,pur pharma fund,2004,10000
washington legal foundation,legal foundation,none,legislative,NA,NA,pur pharma fund,2005,20000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2006,50000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2007,50000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2008,75000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2009,75000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2010,75000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2011,75000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,managedcare ff,2004,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,market strategies,2002,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,medical ed,2004,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,medical ed,2008,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,medical ed,2009,40000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,medical ed,2010,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,other,2005,20000
american drug utilization review society,drug utilization review society,none,medical,pharmacist,drug utilization review,sales force,2007,20000
eastern pain association,eastern pain association,none,medical,general,pain,clin risk assess,2003,220
eastern pain association,eastern pain association,none,medical,general,pain,clinical rsch 3,2003,440
eastern pain association,eastern pain association,none,medical,general,pain,clinical rsch 3,2004,348
eastern pain association,eastern pain association,none,medical,general,pain,clinical rsch 3,2008,75
eastern pain association,eastern pain association,none,medical,general,pain,conventions,2008,2500
eastern pain association,eastern pain association,none,medical,general,pain,ird admin,2002,45
eastern pain association,eastern pain association,none,medical,general,pain,ird admin,2003,60
eastern pain association,eastern pain association,none,medical,general,pain,ird admin,2004,75
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2002,10000
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2003,2500
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2004,2500
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2005,5000
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2006,2500
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2007,5000
eastern pain association,eastern pain association,none,medical,general,pain,medical ed,2008,5000
eastern pain association,eastern pain association,none,medical,general,pain,prof relations,2002,45
nea health information network,education association,none,medical,education,other,st. gov leg  aff,2011,225000
nea health information network,education association,none,medical,education,other,st. gov leg  aff,2012,277570
ehlers danlos syndrome network cares inc,ehlers danlos foundation,none,medical,patient advocacy,sleep,st. gov leg  aff,2010,10000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2012,75000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2013,75000
washington legal foundation,legal foundation,none,legislative,NA,NA,st. gov leg  aff,2014,50000
virginia industrial plastics,industrial plastics,virginia,manufacturer,NA,NA,pharm tech,2007,2454.04
virginia industrial plastics,industrial plastics,virginia,manufacturer,NA,NA,quality assur,2007,898.73
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,pur pharma fund,2004,10000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,pur pharma fund,2005,10000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,pur pharma fund,2006,10000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,st. gov leg  aff,2006,5000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,st. gov leg  aff,2008,3000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,st. gov leg  aff,2013,20000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,st. gov leg  aff,2014,4000
dia de la mujer latina inc,dia mujer latina inc,none,minority advocacy,NA,NA,st. gov leg  aff,2015,16250
mississippi mentoring network inc,mentoring network inc,mississippi,non-medical non-profit,NA,NA,pur pharma fund,2002,1500
lance armstrong foundation,lance armstrong foundation,none,non-medical non-profit,NA,NA,st. gov leg  aff,2006,25000
lance armstrong foundation,lance armstrong foundation,none,non-medical non-profit,NA,NA,st. gov leg  aff,2007,25000
lance armstrong foundation,lance armstrong foundation,none,non-medical non-profit,NA,NA,st. gov leg  aff,2008,25000
lance armstrong foundation,lance armstrong foundation,none,non-medical non-profit,NA,NA,st. gov leg  aff,2009,100000
lotsa helping hands inc,lotsa helping hands inc,none,non-medical non-profit,NA,NA,par against,2010,20000
lotsa helping hands inc,lotsa helping hands inc,none,non-medical non-profit,NA,NA,par against,2011,20000
lotsa helping hands inc,lotsa helping hands inc,none,non-medical non-profit,NA,NA,public affairs,2012,10000
lotsa helping hands inc,lotsa helping hands inc,none,non-medical non-profit,NA,NA,st. gov leg  aff,2012,5000
california hospice and palliative care association,hospice and palliative care,california,medical,general,hospice,conventions,2003,550
california hospice and palliative care association,hospice and palliative care,california,medical,general,hospice,lecture program,2002,300
california hospice foundation,hospice foundation,california,medical,general,hospice,lecture program,2002,500
california hospice foundation,hospice foundation,california,medical,general,hospice,medical ed,2002,6000
california hospice foundation,hospice foundation,california,medical,general,hospice,medical ed,2003,10000
california hospice foundation,hospice foundation,california,medical,general,hospice,medical ed,2004,5000
california hospice foundation,hospice foundation,california,medical,general,hospice,medical ed,2005,6250
california medical association,medical association,california,medical,general,other,analgesic,2003,20000
california medical association,medical association,california,medical,general,other,dom oth inc_exp,2007,10000
california medical association,medical association,california,medical,general,other,health policy,2014,2500
california medical association,medical association,california,medical,general,other,medical ed,2002,10000
california medical association,medical association,california,medical,general,other,medical ed,2004,30000
federation of state medical boards research & education foundati inc,federation of state medical boards research & education foundati inc,none,medical,general,other,analgesic,2004,199895
federation of state medical boards research & education foundati inc,federation of state medical boards research & education foundati inc,none,medical,general,other,analgesic,2005,339000
federation of state medical boards research & education foundati inc,federation of state medical boards research & education foundati inc,none,medical,general,other,analgesic,2007,100000
federation of state medical boards research & education foundati inc,federation of state medical boards research & education foundati inc,none,medical,general,other,medical ed,2003,60000
federation of state medical boards research & education foundati inc,federation of state medical boards research & education foundati inc,none,medical,general,other,medical ed,2006,50000
genese valley oncology nursing society,genese valley oncology nursing society,none,medical,nurse,oncology,conventions,2003,250
genese valley oncology nursing society,genese valley oncology nursing society,none,medical,nurse,oncology,conventions,2012,400
genese valley oncology nursing society,genese valley oncology nursing society,none,medical,nurse,oncology,conventions,2013,450
genese valley oncology nursing society,genese valley oncology nursing society,none,medical,nurse,oncology,lecture program,2002,250
american geriatrics society,geriatrics society,none,medical,general,gerentology,conventions,2002,21700
american geriatrics society,geriatrics society,none,medical,general,gerentology,conventions,2004,1950
american geriatrics society,geriatrics society,none,medical,general,gerentology,medical ed,2002,47050
american geriatrics society,geriatrics society,none,medical,general,gerentology,medical ed,2009,44850
american geriatrics society,geriatrics society,none,medical,general,gerentology,medical ed,2011,40987.5
american geriatrics society,geriatrics society,none,medical,general,gerentology,st. gov leg  aff,2007,6000
american geriatrics society,geriatrics society,none,medical,general,gerentology,st. gov leg  aff,2012,11750
gerontological society of america,gerontological society,none,medical,general,gerentology,medical ed,2011,58000
gerontological society of america,gerontological society,none,medical,general,gerentology,medical ed,2012,10000
gerontological society of america,gerontological society,none,medical,general,gerentology,patient & professional relations,2015,7500
gerontological society of america,gerontological society,none,medical,general,gerentology,st. gov leg  aff,2010,2500
gerontological society of america,gerontological society,none,medical,general,gerentology,st. gov leg  aff,2012,30000
gerontological society of america,gerontological society,none,medical,general,gerentology,st. gov leg  aff,2013,65500
california medical association,medical association,california,medical,general,other,other,2004,10000
american society of pain management northern california chapter,society of pain management,california,medical,general,pain,lecture program,2003,1500
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2002,4100
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2003,2000
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2007,10000
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2008,10000
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2009,16000
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2010,10000
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2011,45500
american society of pain management fl,society of pain management,florida,medical,general,pain,conventions,2012,150
american society of pain management fl,society of pain management,florida,medical,general,pain,lecture program,2002,750
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2002,17163.62
greater cincinnati pain society,greater cincinnati pain society,ohio,medical,general,pain,medical ed,2002,4000
greater grand rapids oncology nursing society cancer,greater grand rapids oncology nursing society cancer,none,medical,nurse,oncology,lecture program,2002,200
greater las vegas chapter oncology nursing society,greater las vegas chapter oncology nursing society,none,medical,nurse,oncology,conventions,2002,500
greater las vegas chapter oncology nursing society,greater las vegas chapter oncology nursing society,none,medical,nurse,oncology,conventions,2003,500
greater las vegas chapter oncology nursing society,greater las vegas chapter oncology nursing society,none,medical,nurse,oncology,lecture program,2002,300
american headache society,headache society,none,medical,general,pain,analgesic,2003,150
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2003,10699.05
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2004,13386.65
american society of pain management fl,society of pain management,florida,medical,general,pain,medical ed,2005,8001.97
healthcare distribution,healthcare distribution,none,medical,distribution,general,corp.security,2003,1000
healthcare distribution,healthcare distribution,none,medical,distribution,general,executive admin,2002,29350
healthcare distribution,healthcare distribution,none,medical,distribution,general,executive admin,2003,36600
healthcare distribution,healthcare distribution,none,medical,distribution,general,executive admin,2004,5600
healthcare distribution,healthcare distribution,none,medical,distribution,general,finance sys,2002,2640
healthcare distribution,healthcare distribution,none,medical,distribution,general,inst sales plan,2002,75
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2002,11175
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2003,6070
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2004,30200
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2005,31700
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2006,35000
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2007,30658
healthcare distribution,healthcare distribution,none,medical,distribution,general,national accts,2008,75000
healthcare distribution,healthcare distribution,none,medical,distribution,general,other,2002,3250
healthcare distribution,healthcare distribution,none,medical,distribution,general,other,2004,548.61
healthcare distribution,healthcare distribution,none,medical,distribution,general,pkg design &dev,2003,1000
healthcare distribution,healthcare distribution,none,medical,distribution,general,rhodes sale dst,2010,26655
healthcare distribution,healthcare distribution,none,medical,distribution,general,sap admin,2003,1000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,market strategies,2008,10000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,market strategies,2009,15000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,national accts,2008,15000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,national accts,2012,40000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,national accts,2013,40000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,national accts,2014,60586.5
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,national accts,2015,25785
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,sales force,2009,10000
healthcare distribution management association,healthcare distribution management association,none,medical,distribution,general,st. gov leg  aff,2011,3500
american heart assoc,heart assoc,none,medical,general,cardiology,ehs corp,2006,750
american heart assoc,heart assoc,none,medical,general,cardiology,executive admin,2012,2500
american heart assoc,heart assoc,none,medical,general,cardiology,human resources,2012,100
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2002,475
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2003,2500
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2006,2000
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2009,2500
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2011,7000
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2012,5000
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2013,5000
american heart assoc,heart assoc,none,medical,general,cardiology,pur pharma fund,2014,10000
american heart assoc,heart assoc,none,medical,general,cardiology,st. gov leg  aff,2009,1000
hemotology-oncology pharmacy association,hemotology/oncology pharmacy association,none,medical,pharmacist,oncology,medical ed,2012,5000
hospice & palliative nurses foundation,hospice & palliative nurses foundation,none,medical,general,hospice,medical ed,2007,1000
hospice and palliative care association,hospice and palliative care,none,medical,general,hospice,conventions,2002,600
hospice and palliative care association,hospice and palliative care,none,medical,general,hospice,conventions,2004,300
hospice and palliative care association,hospice and palliative care,none,medical,general,hospice,medical ed,2003,3000
hospice and palliative care association,hospice and palliative care,none,medical,general,hospice,medical ed,2004,3000
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,medical ed,2002,7850
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,medical ed,2003,11260
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,mkt intrnt strt,2004,12655
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,other,2002,10000
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,other,2004,8220
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,public affairs,2003,70
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,st. gov leg  aff,2004,70
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,st. gov leg  aff,2005,180
hospice and palliative nurse association,hospice and palliative nurse association,none,medical,general,hospice,st. gov leg  aff,2008,85
hospice foundation of america,hospice foundation,none,medical,general,hospice,medical ed,2005,20000
hospice service of lake county,hospice service of lake county,none,medical,general,hospice,medical ed,2002,2400
indian american medical assn,indian medical assn,none,medical,general,general,lecture programs,2003,1500
indian medical association of new england,indian medical assn,none,medical,general,general,conventions,2008,1000
inland northwest academy of family physicians,inland northwest academy of family physicians,none,medical,physician,family,conventions,2003,800
inland northwest academy of family physicians,inland northwest academy of family physicians,none,medical,physician,family,conventions,2013,1250
inland northwest academy of family physicians,inland northwest academy of family physicians,none,medical,physician,family,sales force,2002,250
