organization,department,year,amount
consumer healthcare products association,direct mfg o_h,2012,0
consumer healthcare products association,direct mfg o_h,2013,0
consumer healthcare products association,direct mfg o_h,2014,0
consumer healthcare products association,direct mfg o_h,2015,0
consumer healthcare products association,executive admin,2002,0
consumer healthcare products association,executive admin,2003,0
consumer healthcare products association,executive admin,2004,320
consumer healthcare products association,executive admin,2005,0
consumer healthcare products association,executive admin,2006,0
consumer healthcare products association,executive admin,2007,0
consumer healthcare products association,executive admin,2008,0
consumer healthcare products association,executive admin,2009,0
consumer healthcare products association,executive admin,2010,0
consumer healthcare products association,executive admin,2011,0
consumer healthcare products association,executive admin,2012,0
consumer healthcare products association,executive admin,2013,0
consumer healthcare products association,executive admin,2014,0
consumer healthcare products association,executive admin,2015,0
consumer healthcare products association,human resources,2002,1245
consumer healthcare products association,human resources,2003,0
consumer healthcare products association,human resources,2004,0
consumer healthcare products association,human resources,2005,0
consumer healthcare products association,human resources,2006,0
consumer healthcare products association,human resources,2007,0
consumer healthcare products association,human resources,2008,0
consumer healthcare products association,human resources,2009,0
consumer healthcare products association,human resources,2010,0
consumer healthcare products association,human resources,2011,0
consumer healthcare products association,human resources,2012,0
consumer healthcare products association,human resources,2013,0
consumer healthcare products association,human resources,2014,0
consumer healthcare products association,human resources,2015,0
consumer healthcare products association,isqa,2002,320
consumer healthcare products association,isqa,2003,0
consumer healthcare products association,isqa,2004,0
consumer healthcare products association,isqa,2005,0
consumer healthcare products association,isqa,2006,0
consumer healthcare products association,isqa,2007,0
consumer healthcare products association,isqa,2008,0
consumer healthcare products association,isqa,2009,0
consumer healthcare products association,isqa,2010,0
consumer healthcare products association,isqa,2011,0
consumer healthcare products association,isqa,2012,0
consumer healthcare products association,isqa,2013,0
consumer healthcare products association,isqa,2014,0
consumer healthcare products association,isqa,2015,0
consumer healthcare products association,marketing,2002,0
consumer healthcare products association,marketing,2003,60500
consumer healthcare products association,marketing,2004,0
consumer healthcare products association,marketing,2005,0
consumer healthcare products association,marketing,2006,0
consumer healthcare products association,marketing,2007,0
consumer healthcare products association,marketing,2008,0
consumer healthcare products association,marketing,2009,0
consumer healthcare products association,marketing,2010,0
consumer healthcare products association,marketing,2011,0
consumer healthcare products association,marketing,2012,0
consumer healthcare products association,marketing,2013,0
consumer healthcare products association,marketing,2014,0
consumer healthcare products association,marketing,2015,0
consumer healthcare products association,ppmd,2002,320
consumer healthcare products association,ppmd,2003,0
consumer healthcare products association,ppmd,2004,0
consumer healthcare products association,ppmd,2005,0
consumer healthcare products association,ppmd,2006,0
consumer healthcare products association,ppmd,2007,0
consumer healthcare products association,ppmd,2008,0
consumer healthcare products association,ppmd,2009,0
consumer healthcare products association,ppmd,2010,0
consumer healthcare products association,ppmd,2011,0
consumer healthcare products association,ppmd,2012,0
consumer healthcare products association,ppmd,2013,0
consumer healthcare products association,ppmd,2014,0
consumer healthcare products association,ppmd,2015,0
consumer healthcare products association,ppmd - qa,2002,0
consumer healthcare products association,ppmd - qa,2003,0
consumer healthcare products association,ppmd - qa,2004,0
consumer healthcare products association,ppmd - qa,2005,0
consumer healthcare products association,ppmd - qa,2006,0
consumer healthcare products association,ppmd - qa,2007,600
consumer healthcare products association,ppmd - qa,2008,0
consumer healthcare products association,ppmd - qa,2009,0
consumer healthcare products association,ppmd - qa,2010,0
consumer healthcare products association,ppmd - qa,2011,0
consumer healthcare products association,ppmd - qa,2012,0
consumer healthcare products association,ppmd - qa,2013,0
consumer healthcare products association,ppmd - qa,2014,0
consumer healthcare products association,ppmd - qa,2015,0
consumer healthcare products association,preclin phar an,2002,0
consumer healthcare products association,preclin phar an,2003,950
consumer healthcare products association,preclin phar an,2004,0
consumer healthcare products association,preclin phar an,2005,0
consumer healthcare products association,preclin phar an,2006,0
consumer healthcare products association,preclin phar an,2007,0
consumer healthcare products association,preclin phar an,2008,0
consumer healthcare products association,preclin phar an,2009,0
consumer healthcare products association,preclin phar an,2010,0
consumer healthcare products association,preclin phar an,2011,0
consumer healthcare products association,preclin phar an,2012,0
consumer healthcare products association,preclin phar an,2013,0
consumer healthcare products association,preclin phar an,2014,0
consumer healthcare products association,preclin phar an,2015,0
consumer healthcare products association,quality assur,2002,0
consumer healthcare products association,quality assur,2003,0
consumer healthcare products association,quality assur,2004,320
consumer healthcare products association,quality assur,2005,0
consumer healthcare products association,quality assur,2006,0
consumer healthcare products association,quality assur,2007,0
consumer healthcare products association,quality assur,2008,0
consumer healthcare products association,quality assur,2009,0
consumer healthcare products association,quality assur,2010,0
consumer healthcare products association,quality assur,2011,0
consumer healthcare products association,quality assur,2012,0
consumer healthcare products association,quality assur,2013,0
consumer healthcare products association,quality assur,2014,0
consumer healthcare products association,quality assur,2015,0
consumer healthcare products association,quality control,2002,0
consumer healthcare products association,quality control,2003,0
consumer healthcare products association,quality control,2004,320
consumer healthcare products association,quality control,2005,0
consumer healthcare products association,quality control,2006,0
consumer healthcare products association,quality control,2007,0
consumer healthcare products association,quality control,2008,0
consumer healthcare products association,quality control,2009,0
consumer healthcare products association,quality control,2010,0
consumer healthcare products association,quality control,2011,0
consumer healthcare products association,quality control,2012,0
consumer healthcare products association,quality control,2013,0
consumer healthcare products association,quality control,2014,0
consumer healthcare products association,quality control,2015,0
consumer healthcare products association,reg affairs,2002,0
consumer healthcare products association,reg affairs,2003,69494
consumer healthcare products association,reg affairs,2004,0
consumer healthcare products association,reg affairs,2005,45189
consumer healthcare products association,reg affairs,2006,60600
consumer healthcare products association,reg affairs,2007,60500
consumer healthcare products association,reg affairs,2008,60500
consumer healthcare products association,reg affairs,2009,61507
consumer healthcare products association,reg affairs,2010,60500
consumer healthcare products association,reg affairs,2011,0
consumer healthcare products association,reg affairs,2012,0
consumer healthcare products association,reg affairs,2013,0
consumer healthcare products association,reg affairs,2014,0
consumer healthcare products association,reg affairs,2015,0
consumer healthcare products association,rqa ardsley,2002,0
consumer healthcare products association,rqa ardsley,2003,320
consumer healthcare products association,rqa ardsley,2004,0
consumer healthcare products association,rqa ardsley,2005,0
consumer healthcare products association,rqa ardsley,2006,0
consumer healthcare products association,rqa ardsley,2007,0
consumer healthcare products association,rqa ardsley,2008,0
consumer healthcare products association,rqa ardsley,2009,0
consumer healthcare products association,rqa ardsley,2010,0
consumer healthcare products association,rqa ardsley,2011,0
consumer healthcare products association,rqa ardsley,2012,0
consumer healthcare products association,rqa ardsley,2013,0
consumer healthcare products association,rqa ardsley,2014,0
consumer healthcare products association,rqa ardsley,2015,0
consumer healthcare products association,st. gov leg  aff,2002,0
consumer healthcare products association,st. gov leg  aff,2003,0
consumer healthcare products association,st. gov leg  aff,2004,0
consumer healthcare products association,st. gov leg  aff,2005,0
consumer healthcare products association,st. gov leg  aff,2006,0
consumer healthcare products association,st. gov leg  aff,2007,0
consumer healthcare products association,st. gov leg  aff,2008,0
consumer healthcare products association,st. gov leg  aff,2009,0
consumer healthcare products association,st. gov leg  aff,2010,0
consumer healthcare products association,st. gov leg  aff,2011,60500
consumer healthcare products association,st. gov leg  aff,2012,60500
consumer healthcare products association,st. gov leg  aff,2013,0
consumer healthcare products association,st. gov leg  aff,2014,60500
consumer healthcare products association,st. gov leg  aff,2015,60500
coshar foundation,st. gov leg  aff,2002,0
coshar foundation,st. gov leg  aff,2003,0
coshar foundation,st. gov leg  aff,2004,0
coshar foundation,st. gov leg  aff,2005,0
coshar foundation,st. gov leg  aff,2006,0
coshar foundation,st. gov leg  aff,2007,0
coshar foundation,st. gov leg  aff,2008,0
coshar foundation,st. gov leg  aff,2009,0
coshar foundation,st. gov leg  aff,2010,0
coshar foundation,st. gov leg  aff,2011,0
coshar foundation,st. gov leg  aff,2012,0
coshar foundation,st. gov leg  aff,2013,185000
coshar foundation,st. gov leg  aff,2014,198110
coshar foundation,st. gov leg  aff,2015,25000
council of state governments,government aff,2002,0
council of state governments,government aff,2003,5000
council of state governments,government aff,2004,0
council of state governments,government aff,2005,0
council of state governments,government aff,2006,0
council of state governments,government aff,2007,0
council of state governments,government aff,2008,0
council of state governments,government aff,2009,0
council of state governments,government aff,2010,0
council of state governments,government aff,2011,0
council of state governments,government aff,2012,0
council of state governments,government aff,2013,0
council of state governments,government aff,2014,0
council of state governments,government aff,2015,0
council of state governments,st. gov leg  aff,2002,0
council of state governments,st. gov leg  aff,2003,0
council of state governments,st. gov leg  aff,2004,6000
council of state governments,st. gov leg  aff,2005,5000
council of state governments,st. gov leg  aff,2006,6000
council of state governments,st. gov leg  aff,2007,8500
council of state governments,st. gov leg  aff,2008,8500
council of state governments,st. gov leg  aff,2009,11000
council of state governments,st. gov leg  aff,2010,7500
council of state governments,st. gov leg  aff,2011,15000
council of state governments,st. gov leg  aff,2012,0
council of state governments,st. gov leg  aff,2013,11000
council of state governments,st. gov leg  aff,2014,6000
council of state governments,st. gov leg  aff,2015,9000
ct fbi naa summit,lele,2002,0
ct fbi naa summit,lele,2003,0
ct fbi naa summit,lele,2004,0
ct fbi naa summit,lele,2005,0
ct fbi naa summit,lele,2006,1000
ct fbi naa summit,lele,2007,0
ct fbi naa summit,lele,2008,0
ct fbi naa summit,lele,2009,0
ct fbi naa summit,lele,2010,0
ct fbi naa summit,lele,2011,0
ct fbi naa summit,lele,2012,0
ct fbi naa summit,lele,2013,0
ct fbi naa summit,lele,2014,0
ct fbi naa summit,lele,2015,0
ct osteopathic medical society,medical ed,2002,0
ct osteopathic medical society,medical ed,2003,0
ct osteopathic medical society,medical ed,2004,0
ct osteopathic medical society,medical ed,2005,0
ct osteopathic medical society,medical ed,2006,3000
ct osteopathic medical society,medical ed,2007,0
ct osteopathic medical society,medical ed,2008,0
ct osteopathic medical society,medical ed,2009,0
ct osteopathic medical society,medical ed,2010,0
ct osteopathic medical society,medical ed,2011,0
ct osteopathic medical society,medical ed,2012,0
ct osteopathic medical society,medical ed,2013,0
ct osteopathic medical society,medical ed,2014,0
ct osteopathic medical society,medical ed,2015,0
dahl june ph d c/o university of wi,lecture program,2002,0
dahl june ph d c/o university of wi,lecture program,2003,4000
dahl june ph d c/o university of wi,lecture program,2004,0
dahl june ph d c/o university of wi,lecture program,2005,0
dahl june ph d c/o university of wi,lecture program,2006,0
dahl june ph d c/o university of wi,lecture program,2007,0
dahl june ph d c/o university of wi,lecture program,2008,0
dahl june ph d c/o university of wi,lecture program,2009,0
dahl june ph d c/o university of wi,lecture program,2010,0
dahl june ph d c/o university of wi,lecture program,2011,0
dahl june ph d c/o university of wi,lecture program,2012,0
dahl june ph d c/o university of wi,lecture program,2013,0
dahl june ph d c/o university of wi,lecture program,2014,0
dahl june ph d c/o university of wi,lecture program,2015,0
dannemiller inc,conventions,2002,0
dannemiller inc,conventions,2003,300
dannemiller inc,conventions,2004,0
dannemiller inc,conventions,2005,0
dannemiller inc,conventions,2006,0
dannemiller inc,conventions,2007,0
dannemiller inc,conventions,2008,0
dannemiller inc,conventions,2009,0
dannemiller inc,conventions,2010,0
dannemiller inc,conventions,2011,0
dannemiller inc,conventions,2012,0
dannemiller inc,conventions,2013,0
dannemiller inc,conventions,2014,0
dannemiller inc,conventions,2015,0
dannemiller inc,market strategies,2002,0
dannemiller inc,market strategies,2003,0
dannemiller inc,market strategies,2004,0
dannemiller inc,market strategies,2005,5269.8
dannemiller inc,market strategies,2006,0
dannemiller inc,market strategies,2007,0
dannemiller inc,market strategies,2008,0
dannemiller inc,market strategies,2009,0
dannemiller inc,market strategies,2010,0
dannemiller inc,market strategies,2011,0
dannemiller inc,market strategies,2012,0
dannemiller inc,market strategies,2013,0
dannemiller inc,market strategies,2014,0
dannemiller inc,market strategies,2015,0
dannemiller inc,medical ed,2002,0
dannemiller inc,medical ed,2003,271392.98
dannemiller inc,medical ed,2004,185536.62
dannemiller inc,medical ed,2005,459677.99
dannemiller inc,medical ed,2006,192400
dannemiller inc,medical ed,2007,51500
dannemiller inc,medical ed,2008,63340.28
dannemiller inc,medical ed,2009,173400
dannemiller inc,medical ed,2010,258800
dannemiller inc,medical ed,2011,191920
dannemiller inc,medical ed,2012,203100
dannemiller inc,medical ed,2013,24000
dannemiller inc,medical ed,2014,193500
dannemiller inc,medical ed,2015,10000
dannemiller inc,mkt intrnt strt,2002,0
dannemiller inc,mkt intrnt strt,2003,105000
dannemiller inc,mkt intrnt strt,2004,20000
dannemiller inc,mkt intrnt strt,2005,0
dannemiller inc,mkt intrnt strt,2006,0
dannemiller inc,mkt intrnt strt,2007,0
dannemiller inc,mkt intrnt strt,2008,0
dannemiller inc,mkt intrnt strt,2009,0
dannemiller inc,mkt intrnt strt,2010,0
dannemiller inc,mkt intrnt strt,2011,0
dannemiller inc,mkt intrnt strt,2012,0
dannemiller inc,mkt intrnt strt,2013,0
dannemiller inc,mkt intrnt strt,2014,0
dannemiller inc,mkt intrnt strt,2015,0
dannemiller inc,other,2002,0
dannemiller inc,other,2003,0
dannemiller inc,other,2004,0
dannemiller inc,other,2005,0
dannemiller inc,other,2006,0
dannemiller inc,other,2007,210000
dannemiller inc,other,2008,0
dannemiller inc,other,2009,0
dannemiller inc,other,2010,0
dannemiller inc,other,2011,0
dannemiller inc,other,2012,0
dannemiller inc,other,2013,0
dannemiller inc,other,2014,0
dannemiller inc,other,2015,0
darien ymca,human resources,2002,0
darien ymca,human resources,2003,0
darien ymca,human resources,2004,0
darien ymca,human resources,2005,0
darien ymca,human resources,2006,0
darien ymca,human resources,2007,0
darien ymca,human resources,2008,700
darien ymca,human resources,2009,0
darien ymca,human resources,2010,0
darien ymca,human resources,2011,0
darien ymca,human resources,2012,0
darien ymca,human resources,2013,0
darien ymca,human resources,2014,0
darien ymca,human resources,2015,0
delaware academy of family physicians,conventions,2002,0
delaware academy of family physicians,conventions,2003,400
delaware academy of family physicians,conventions,2004,650
delaware academy of family physicians,conventions,2005,0
delaware academy of family physicians,conventions,2006,0
delaware academy of family physicians,conventions,2007,0
delaware academy of family physicians,conventions,2008,0
delaware academy of family physicians,conventions,2009,0
delaware academy of family physicians,conventions,2010,0
delaware academy of family physicians,conventions,2011,0
delaware academy of family physicians,conventions,2012,0
delaware academy of family physicians,conventions,2013,0
delaware academy of family physicians,conventions,2014,0
delaware academy of family physicians,conventions,2015,0
delaware academy of family physicians,lecture program,2002,0
delaware academy of family physicians,lecture program,2003,650
delaware academy of family physicians,lecture program,2004,0
delaware academy of family physicians,lecture program,2005,0
delaware academy of family physicians,lecture program,2006,0
delaware academy of family physicians,lecture program,2007,0
delaware academy of family physicians,lecture program,2008,0
delaware academy of family physicians,lecture program,2009,0
delaware academy of family physicians,lecture program,2010,0
delaware academy of family physicians,lecture program,2011,0
delaware academy of family physicians,lecture program,2012,0
delaware academy of family physicians,lecture program,2013,0
delaware academy of family physicians,lecture program,2014,0
delaware academy of family physicians,lecture program,2015,0
delaware chapter of american college of physiciansasim,conventions,2002,0
delaware chapter of american college of physiciansasim,conventions,2003,0
delaware chapter of american college of physiciansasim,conventions,2004,1000
delaware chapter of american college of physiciansasim,conventions,2005,0
delaware chapter of american college of physiciansasim,conventions,2006,0
delaware chapter of american college of physiciansasim,conventions,2007,0
delaware chapter of american college of physiciansasim,conventions,2008,0
delaware chapter of american college of physiciansasim,conventions,2009,0
delaware chapter of american college of physiciansasim,conventions,2010,0
delaware chapter of american college of physiciansasim,conventions,2011,0
delaware chapter of american college of physiciansasim,conventions,2012,0
delaware chapter of american college of physiciansasim,conventions,2013,0
delaware chapter of american college of physiciansasim,conventions,2014,0
delaware chapter of american college of physiciansasim,conventions,2015,0
delaware nurses association,conventions,2002,0
delaware nurses association,conventions,2003,0
delaware nurses association,conventions,2004,800
delaware nurses association,conventions,2005,400
delaware nurses association,conventions,2006,0
delaware nurses association,conventions,2007,0
delaware nurses association,conventions,2008,0
delaware nurses association,conventions,2009,0
delaware nurses association,conventions,2010,0
delaware nurses association,conventions,2011,0
delaware nurses association,conventions,2012,0
delaware nurses association,conventions,2013,0
delaware nurses association,conventions,2014,0
delaware nurses association,conventions,2015,0
delaware nurses association,sales force,2002,0
delaware nurses association,sales force,2003,400
delaware nurses association,sales force,2004,0
delaware nurses association,sales force,2005,0
delaware nurses association,sales force,2006,0
delaware nurses association,sales force,2007,0
delaware nurses association,sales force,2008,0
delaware nurses association,sales force,2009,0
delaware nurses association,sales force,2010,0
delaware nurses association,sales force,2011,0
delaware nurses association,sales force,2012,0
delaware nurses association,sales force,2013,0
delaware nurses association,sales force,2014,0
delaware nurses association,sales force,2015,0
delaware pharmacists society,conventions,2002,0
delaware pharmacists society,conventions,2003,0
delaware pharmacists society,conventions,2004,0
delaware pharmacists society,conventions,2005,0
delaware pharmacists society,conventions,2006,0
delaware pharmacists society,conventions,2007,0
delaware pharmacists society,conventions,2008,500
delaware pharmacists society,conventions,2009,0
delaware pharmacists society,conventions,2010,0
delaware pharmacists society,conventions,2011,0
delaware pharmacists society,conventions,2012,0
delaware pharmacists society,conventions,2013,0
delaware pharmacists society,conventions,2014,495
delaware pharmacists society,conventions,2015,0
delaware pharmacists society,corp.security,2002,0
delaware pharmacists society,corp.security,2003,0
delaware pharmacists society,corp.security,2004,0
delaware pharmacists society,corp.security,2005,500
delaware pharmacists society,corp.security,2006,0
delaware pharmacists society,corp.security,2007,0
delaware pharmacists society,corp.security,2008,0
delaware pharmacists society,corp.security,2009,0
delaware pharmacists society,corp.security,2010,0
delaware pharmacists society,corp.security,2011,0
delaware pharmacists society,corp.security,2012,0
delaware pharmacists society,corp.security,2013,0
delaware pharmacists society,corp.security,2014,0
delaware pharmacists society,corp.security,2015,0
delaware pharmacists society,lecture program,2002,0
delaware pharmacists society,lecture program,2003,2500
delaware pharmacists society,lecture program,2004,0
delaware pharmacists society,lecture program,2005,0
delaware pharmacists society,lecture program,2006,0
delaware pharmacists society,lecture program,2007,0
delaware pharmacists society,lecture program,2008,0
delaware pharmacists society,lecture program,2009,0
delaware pharmacists society,lecture program,2010,0
delaware pharmacists society,lecture program,2011,0
delaware pharmacists society,lecture program,2012,0
delaware pharmacists society,lecture program,2013,0
delaware pharmacists society,lecture program,2014,0
delaware pharmacists society,lecture program,2015,0
delaware valley society of health system pharmacists,lecture program,2002,0
delaware valley society of health system pharmacists,lecture program,2003,0
delaware valley society of health system pharmacists,lecture program,2004,1005
delaware valley society of health system pharmacists,lecture program,2005,0
delaware valley society of health system pharmacists,lecture program,2006,0
delaware valley society of health system pharmacists,lecture program,2007,0
delaware valley society of health system pharmacists,lecture program,2008,0
delaware valley society of health system pharmacists,lecture program,2009,0
delaware valley society of health system pharmacists,lecture program,2010,0
delaware valley society of health system pharmacists,lecture program,2011,0
delaware valley society of health system pharmacists,lecture program,2012,0
delaware valley society of health system pharmacists,lecture program,2013,0
delaware valley society of health system pharmacists,lecture program,2014,0
delaware valley society of health system pharmacists,lecture program,2015,0
democratic governors association,government aff,2002,0
democratic governors association,government aff,2003,10000
democratic governors association,government aff,2004,0
democratic governors association,government aff,2005,0
democratic governors association,government aff,2006,0
democratic governors association,government aff,2007,0
democratic governors association,government aff,2008,0
democratic governors association,government aff,2009,0
democratic governors association,government aff,2010,0
democratic governors association,government aff,2011,0
democratic governors association,government aff,2012,0
democratic governors association,government aff,2013,0
democratic governors association,government aff,2014,0
democratic governors association,government aff,2015,0
democratic governors association,st. gov leg  aff,2002,0
democratic governors association,st. gov leg  aff,2003,0
democratic governors association,st. gov leg  aff,2004,0
democratic governors association,st. gov leg  aff,2005,0
democratic governors association,st. gov leg  aff,2006,0
democratic governors association,st. gov leg  aff,2007,0
democratic governors association,st. gov leg  aff,2008,0
democratic governors association,st. gov leg  aff,2009,0
democratic governors association,st. gov leg  aff,2010,0
democratic governors association,st. gov leg  aff,2011,0
democratic governors association,st. gov leg  aff,2012,0
democratic governors association,st. gov leg  aff,2013,20000
democratic governors association,st. gov leg  aff,2014,55000
democratic governors association,st. gov leg  aff,2015,50000
dia de la mujer latina inc,pur pharma fund,2002,0
dia de la mujer latina inc,pur pharma fund,2003,0
dia de la mujer latina inc,pur pharma fund,2004,10000
dia de la mujer latina inc,pur pharma fund,2005,10000
dia de la mujer latina inc,pur pharma fund,2006,10000
dia de la mujer latina inc,pur pharma fund,2007,0
dia de la mujer latina inc,pur pharma fund,2008,0
dia de la mujer latina inc,pur pharma fund,2009,0
dia de la mujer latina inc,pur pharma fund,2010,0
dia de la mujer latina inc,pur pharma fund,2011,0
dia de la mujer latina inc,pur pharma fund,2012,0
dia de la mujer latina inc,pur pharma fund,2013,0
dia de la mujer latina inc,pur pharma fund,2014,0
dia de la mujer latina inc,pur pharma fund,2015,0
dia de la mujer latina inc,st. gov leg  aff,2002,0
dia de la mujer latina inc,st. gov leg  aff,2003,0
dia de la mujer latina inc,st. gov leg  aff,2004,0
dia de la mujer latina inc,st. gov leg  aff,2005,0
dia de la mujer latina inc,st. gov leg  aff,2006,5000
dia de la mujer latina inc,st. gov leg  aff,2007,0
dia de la mujer latina inc,st. gov leg  aff,2008,3000
dia de la mujer latina inc,st. gov leg  aff,2009,0
dia de la mujer latina inc,st. gov leg  aff,2010,0
dia de la mujer latina inc,st. gov leg  aff,2011,0
dia de la mujer latina inc,st. gov leg  aff,2012,0
dia de la mujer latina inc,st. gov leg  aff,2013,20000
dia de la mujer latina inc,st. gov leg  aff,2014,4000
dia de la mujer latina inc,st. gov leg  aff,2015,16250
disabled american veterans,pur pharma fund,2002,0
disabled american veterans,pur pharma fund,2003,10000
disabled american veterans,pur pharma fund,2004,0
disabled american veterans,pur pharma fund,2005,5000
disabled american veterans,pur pharma fund,2006,10000
disabled american veterans,pur pharma fund,2007,0
disabled american veterans,pur pharma fund,2008,0
disabled american veterans,pur pharma fund,2009,0
disabled american veterans,pur pharma fund,2010,0
disabled american veterans,pur pharma fund,2011,0
disabled american veterans,pur pharma fund,2012,0
disabled american veterans,pur pharma fund,2013,0
disabled american veterans,pur pharma fund,2014,500
disabled american veterans,pur pharma fund,2015,0
disabled american veterans,st. gov leg  aff,2002,0
disabled american veterans,st. gov leg  aff,2003,0
disabled american veterans,st. gov leg  aff,2004,0
disabled american veterans,st. gov leg  aff,2005,0
disabled american veterans,st. gov leg  aff,2006,0
disabled american veterans,st. gov leg  aff,2007,10000
disabled american veterans,st. gov leg  aff,2008,20000
disabled american veterans,st. gov leg  aff,2009,0
disabled american veterans,st. gov leg  aff,2010,10000
disabled american veterans,st. gov leg  aff,2011,1000
disabled american veterans,st. gov leg  aff,2012,10000
disabled american veterans,st. gov leg  aff,2013,10000
disabled american veterans,st. gov leg  aff,2014,10000
disabled american veterans,st. gov leg  aff,2015,10000
district i  nabp/aacp,lecture programs,2002,0
district i  nabp/aacp,lecture programs,2003,0
district i  nabp/aacp,lecture programs,2004,2000
district i  nabp/aacp,lecture programs,2005,0
district i  nabp/aacp,lecture programs,2006,0
district i  nabp/aacp,lecture programs,2007,0
district i  nabp/aacp,lecture programs,2008,0
district i  nabp/aacp,lecture programs,2009,0
district i  nabp/aacp,lecture programs,2010,0
district i  nabp/aacp,lecture programs,2011,0
district i  nabp/aacp,lecture programs,2012,0
district i  nabp/aacp,lecture programs,2013,0
district i  nabp/aacp,lecture programs,2014,0
district i  nabp/aacp,lecture programs,2015,0
district i  nabp/aacp,medical ed,2002,0
district i  nabp/aacp,medical ed,2003,2000
district i  nabp/aacp,medical ed,2004,0
district i  nabp/aacp,medical ed,2005,2000
district i  nabp/aacp,medical ed,2006,2000
district i  nabp/aacp,medical ed,2007,0
district i  nabp/aacp,medical ed,2008,0
district i  nabp/aacp,medical ed,2009,0
district i  nabp/aacp,medical ed,2010,0
district i  nabp/aacp,medical ed,2011,0
district i  nabp/aacp,medical ed,2012,0
district i  nabp/aacp,medical ed,2013,0
district i  nabp/aacp,medical ed,2014,0
district i  nabp/aacp,medical ed,2015,0
district ii nabp,medical ed,2002,0
district ii nabp,medical ed,2003,2000
district ii nabp,medical ed,2004,0
district ii nabp,medical ed,2005,0
district ii nabp,medical ed,2006,0
district ii nabp,medical ed,2007,0
district ii nabp,medical ed,2008,0
district ii nabp,medical ed,2009,0
district ii nabp,medical ed,2010,0
district ii nabp,medical ed,2011,0
district ii nabp,medical ed,2012,0
district ii nabp,medical ed,2013,0
district ii nabp,medical ed,2014,0
district ii nabp,medical ed,2015,0
district iv nabp aacp college of pharmacy wsv,medical ed,2002,0
district iv nabp aacp college of pharmacy wsv,medical ed,2003,0
district iv nabp aacp college of pharmacy wsv,medical ed,2004,0
district iv nabp aacp college of pharmacy wsv,medical ed,2005,0
district iv nabp aacp college of pharmacy wsv,medical ed,2006,1000
district iv nabp aacp college of pharmacy wsv,medical ed,2007,1000
district iv nabp aacp college of pharmacy wsv,medical ed,2008,1000
district iv nabp aacp college of pharmacy wsv,medical ed,2009,0
district iv nabp aacp college of pharmacy wsv,medical ed,2010,1000
district iv nabp aacp college of pharmacy wsv,medical ed,2011,2000
district iv nabp aacp college of pharmacy wsv,medical ed,2012,0
district iv nabp aacp college of pharmacy wsv,medical ed,2013,0
district iv nabp aacp college of pharmacy wsv,medical ed,2014,0
district iv nabp aacp college of pharmacy wsv,medical ed,2015,0
district v nabp aacp,medical ed,2002,0
district v nabp aacp,medical ed,2003,0
district v nabp aacp,medical ed,2004,0
district v nabp aacp,medical ed,2005,0
district v nabp aacp,medical ed,2006,0
district v nabp aacp,medical ed,2007,0
district v nabp aacp,medical ed,2008,0
district v nabp aacp,medical ed,2009,0
district v nabp aacp,medical ed,2010,0
district v nabp aacp,medical ed,2011,1000
district v nabp aacp,medical ed,2012,0
district v nabp aacp,medical ed,2013,0
district v nabp aacp,medical ed,2014,0
district v nabp aacp,medical ed,2015,0
drug enforcement agents recreation association,lele,2002,0
drug enforcement agents recreation association,lele,2003,0
drug enforcement agents recreation association,lele,2004,0
drug enforcement agents recreation association,lele,2005,0
drug enforcement agents recreation association,lele,2006,0
drug enforcement agents recreation association,lele,2007,0
drug enforcement agents recreation association,lele,2008,0
drug enforcement agents recreation association,lele,2009,0
drug enforcement agents recreation association,lele,2010,0
drug enforcement agents recreation association,lele,2011,0
drug enforcement agents recreation association,lele,2012,0
drug enforcement agents recreation association,lele,2013,250
drug enforcement agents recreation association,lele,2014,350
drug enforcement agents recreation association,lele,2015,350
eastern pain association,clin risk assess,2002,0
eastern pain association,clin risk assess,2003,220
eastern pain association,clin risk assess,2004,0
eastern pain association,clin risk assess,2005,0
eastern pain association,clin risk assess,2006,0
eastern pain association,clin risk assess,2007,0
eastern pain association,clin risk assess,2008,0
eastern pain association,clin risk assess,2009,0
eastern pain association,clin risk assess,2010,0
eastern pain association,clin risk assess,2011,0
eastern pain association,clin risk assess,2012,0
eastern pain association,clin risk assess,2013,0
eastern pain association,clin risk assess,2014,0
eastern pain association,clin risk assess,2015,0
eastern pain association,clinical rsch 3,2002,0
eastern pain association,clinical rsch 3,2003,440
eastern pain association,clinical rsch 3,2004,348
eastern pain association,clinical rsch 3,2005,0
eastern pain association,clinical rsch 3,2006,0
eastern pain association,clinical rsch 3,2007,0
eastern pain association,clinical rsch 3,2008,75
eastern pain association,clinical rsch 3,2009,0
eastern pain association,clinical rsch 3,2010,0
eastern pain association,clinical rsch 3,2011,0
eastern pain association,clinical rsch 3,2012,0
eastern pain association,clinical rsch 3,2013,0
eastern pain association,clinical rsch 3,2014,0
eastern pain association,clinical rsch 3,2015,0
eastern pain association,conventions,2002,0
eastern pain association,conventions,2003,0
eastern pain association,conventions,2004,0
eastern pain association,conventions,2005,0
eastern pain association,conventions,2006,0
eastern pain association,conventions,2007,0
eastern pain association,conventions,2008,2500
eastern pain association,conventions,2009,0
eastern pain association,conventions,2010,0
eastern pain association,conventions,2011,0
eastern pain association,conventions,2012,0
eastern pain association,conventions,2013,0
eastern pain association,conventions,2014,0
eastern pain association,conventions,2015,0
eastern pain association,ird admin,2002,45
eastern pain association,ird admin,2003,60
